experiment,setting,model,train_years,train_rows,test_rows,cv_folds,cv_acc_mean,cv_prec_mean,cv_rec_mean,cv_f1_mean,cv_auc_mean,cv_logloss_mean,test_acc,test_prec,test_rec,test_f1,test_auc,test_logloss,tn,fp,fn,tp,bets,profit,roi
spread_training_size,train<= 2023,xgb,<= 2023,7214,2491,5,0.5487520798668885,0.5207738753774664,0.45377736068496183,0.4834427284343631,0.5631120287999984,0.7225245092704993,0.5800883179446006,0.5483870967741935,0.4763572679509632,0.5098406747891283,0.591718714907196,0.6833692639663143,901,448,598,544,2036,-118.9212,-0.058409233791748526
spread_training_size,train<= 2024,lr,<= 2024,9613,2491,5,0.5640449438202249,0.5401994500069799,0.443930141282937,0.482647485034687,0.5853052218125406,0.6857417044074036,0.6049779205138499,0.5819502074688797,0.4912434325744308,0.5327635327635327,0.626108202352654,0.665885703209761,946,403,581,561,1655,-66.04820000000001,-0.03990827794561934
spread_training_size,train<= 2024,rf,<= 2024,9613,2491,5,0.5654182272159801,0.5374807597239075,0.472292843271361,0.501770489315208,0.5820662659061668,0.6856373719692974,0.5921316740264954,0.5695364238410596,0.45183887915936954,0.50390625,0.6103866261445527,0.6729897039436021,959,390,626,516,1895,-70.54239999999999,-0.03722554089709762
spread_training_size,train<= 2024,xgb,<= 2024,9613,2491,5,0.5466916354556803,0.5147797606763946,0.44723062234801236,0.47712715389814164,0.5599320179175333,0.7120116270676624,0.592934564431955,0.5712694877505567,0.44921190893169877,0.5029411764705882,0.6006213333090997,0.6805880892837645,964,385,629,513,2017,-100.53549999999998,-0.04984407535944471
spread_balance,none,lr,<= 2024,9613,2491,5,0.5640449438202249,0.5401994500069799,0.443930141282937,0.482647485034687,0.5853052218125406,0.6857417044074036,0.6049779205138499,0.5819502074688797,0.4912434325744308,0.5327635327635327,0.626108202352654,0.665885703209761,946,403,581,561,1655,-66.04820000000001,-0.03990827794561934
spread_balance,class_weight,lr,<= 2024,9613,2491,5,0.5609238451935081,0.5284756478284295,0.5379456670678487,0.5307037328796523,0.585281002387523,0.6868391869865196,0.6009634684865516,0.5628183361629882,0.5805604203152365,0.571551724137931,0.6262367272118285,0.6675791574885811,834,515,479,663,1606,-89.99079999999998,-0.056034122042341206
spread_balance,smote,lr,<= 2024,9613,2491,5,0.5615480649188515,0.5293214701246384,0.5332823991628918,0.5288209927881574,0.5841039216385271,0.687420421301769,0.6009634684865516,0.5623946037099494,0.5840630472854641,0.5730240549828179,0.6262730776770495,0.6677403236986446,830,519,475,667,1645,-71.84049999999999,-0.04367203647416413
spread_balance,none,rf,<= 2024,9613,2491,5,0.5654182272159801,0.5374807597239075,0.472292843271361,0.501770489315208,0.5820662659061668,0.6856373719692974,0.5921316740264954,0.5695364238410596,0.45183887915936954,0.50390625,0.6103866261445527,0.6729897039436021,959,390,626,516,1895,-70.54239999999999,-0.03722554089709762
spread_balance,class_weight,rf,<= 2024,9613,2491,5,0.5667915106117353,0.5340750693151026,0.537382173292477,0.5350556688643866,0.5823234676866405,0.6862881513052064,0.5941389000401445,0.5620853080568721,0.5192644483362522,0.539827036868457,0.6119613802271644,0.6730398751212869,887,462,549,593,1901,-93.86079999999998,-0.0493744345081536
spread_balance,smote,rf,<= 2024,9613,2491,5,0.5637952559300874,0.5318692042551458,0.5191073471394347,0.5247660907767223,0.581147353437758,0.6869461367755783,0.5849056603773585,0.5532544378698225,0.4912434325744308,0.5204081632653061,0.6084529112178834,0.6741485098585382,896,453,581,561,1925,-111.85400000000001,-0.05810597402597403
spread_augmentation,no_aug,lr,<= 2024,9613,2491,5,0.5640449438202249,0.5401994500069799,0.443930141282937,0.482647485034687,0.5853052218125406,0.6857417044074036,0.6049779205138499,0.5819502074688797,0.4912434325744308,0.5327635327635327,0.626108202352654,0.665885703209761,946,403,581,561,1655,-66.04820000000001,-0.03990827794561934
spread_augmentation,noise_aug,lr,<= 2024,9613,2491,5,0.5637952559300874,0.5396569438957541,0.4447415947250814,0.4829419400944099,0.5843237899967305,0.686500989946283,0.6061822561220394,0.5837669094693028,0.4912434325744308,0.5335235378031383,0.6260160279587007,0.6659247839498559,949,400,581,561,1662,-62.07450000000001,-0.037349277978339354
spread_augmentation,no_aug,rf,<= 2024,9613,2491,5,0.5654182272159801,0.5374807597239075,0.472292843271361,0.501770489315208,0.5820662659061668,0.6856373719692976,0.5921316740264954,0.5695364238410596,0.45183887915936954,0.50390625,0.6103866261445527,0.6729897039436021,959,390,626,516,1895,-70.54239999999999,-0.03722554089709762
spread_augmentation,noise_aug,rf,<= 2024,9613,2491,5,0.5594257178526842,0.5300048169179257,0.46473863900186857,0.49439247801210745,0.5746111370917861,0.6920713315198638,0.5937374548374147,0.5735294117647058,0.44395796847635727,0.5004935834155971,0.6074500278470529,0.675647135954687,972,377,635,507,1997,-62.7645,-0.0314293940911367
spread_pca,no_pca,lr,<= 2024,9613,2491,5,0.5640449438202249,0.5401994500069799,0.443930141282937,0.482647485034687,0.5853052218125406,0.6857417044074036,0.6049779205138499,0.5819502074688797,0.4912434325744308,0.5327635327635327,0.626108202352654,0.665885703209761,946,403,581,561,1655,-66.04820000000001,-0.03990827794561934
spread_pca,pca_95var,lr,<= 2024,9613,2491,5,0.575405742821473,0.555378279151846,0.4665652717936709,0.5004026903668304,0.5969787741126195,0.6804529869120056,0.6013649136892815,0.5753286147623863,0.4982486865148862,0.5340215861098077,0.6255454192571782,0.6661848085511651,929,420,573,569,1476,-99.4885,-0.06740413279132791
spread_pca,no_pca,rf,<= 2024,9613,2491,5,0.5654182272159801,0.5374807597239075,0.472292843271361,0.501770489315208,0.5820662659061668,0.6856373719692975,0.5921316740264954,0.5695364238410596,0.45183887915936954,0.50390625,0.6103866261445527,0.6729897039436021,959,390,626,516,1895,-70.54239999999999,-0.03722554089709762
spread_pca,pca_95var,rf,<= 2024,9613,2491,5,0.5488139825218477,0.5176900592496387,0.4541937964282007,0.4818565510179794,0.5582874307610315,0.6962386652678216,0.5624247290244881,0.5265306122448979,0.45183887915936954,0.48633364750235625,0.5818054237490571,0.686365902401567,885,464,626,516,2107,-125.9547,-0.05977916468913147
